name,slug,size,characteristic,image_url,additional_images
20' SL Tandem,20-sl-tandem,20ft,Tandem,/assets/20-sl-tandem.webp,/assets/20_SL_Tandem_2.jpg;/assets/20_SL_Tandem_3.jpg
20' SL Tandem Extended Version,20-sl-tandem-extended,20ft,Tandem,/assets/20-sl-tandem.webp,/assets/20_SL_Tandem_2.jpg;/assets/20_SL_Tandem_3.jpg
20/40 12 Pins Triaxle Container Chassis,20-40-12-pins-triaxle,20-40ft,Triaxle,/assets/20-40-12-pins-triaxle.webp,/assets/20_40_12_Pins_Triaxle_2.jpg;/assets/20_40_12_Pins_Triaxle_3.jpg
20/40 Extendable Container Chassis Tandem,20-40-extendable-tandem,20-40ft,Extendable Tandem,/assets/20-40-extendable-tandem.webp,
20/40 Extendable Tandem Container Chassis,20-40-extendable-tandem-standard,20-40ft,Tandem,/assets/20-40-extendable-tandem.webp,
20/40 Extendable Tandem Container Chassis With PSI,20-40-extendable-tandem-psi,20-40ft,Extendable Tandem,/assets/20-40-extendable-tandem.webp,
20/40' Slider 12pins Container Chassis Tandem,20-40-slider-12pins-tandem,20-40ft,Tandem,/assets/20-40-slider-12pins-tandem.webp,""
20/40/45' Extendable Triaxle Container Chassis,20-40-45-extendable-triaxle,20-40-45ft,Triaxle,/assets/20-40-45-extendable-triaxle.webp,""
20/40/45′ Combo Tandem,20-40-45-combo-tandem,20-40-45ft,Tandem,/assets/og-image.jpg,""
20'/40'/45' COMBO TRIDEM,20-40-45-combo-tridem,20-40-45ft,Tridem,/assets/og-image.jpg,""
20ft ISO Tank Container Chassis,20ft-iso-tank-container-chassis,20ft,Tandem,/assets/20ft-iso-tank-container-chassis.webp,""
33' Slider Tri-Axle Container Chassis,33ft-slider-tri-axle,33-41ft,Triaxle,/assets/33-slider-triaxle.webp,""
40' GN Tandem,40ft-gn-tandem,40ft,Tandem,/assets/og-image.jpg,""
40' Lightweight Four-Axle Chassis,40ft-lightweight-four-axle,40ft,Four-Axle,/assets/40ft-lightweight-four-axle.webp,""
40/45 Extendable Container Chassis,40-45-extendable,40-45ft,Extendable Tandem,/assets/40-45-extendable-container.webp,/assets/40_45_Extendable_2.jpg;/assets/40_45_Extendable_3.jpg;/assets/40_45_Extendable_4.jpg;/assets/40_45_Extendable_5.jpg
40/45/48/53' Extendable Triaxle Container Chassis,40-45-48-53-extendable-triaxle,40-53ft,Triaxle,/assets/40-45-48-53-extendable-triaxle.webp,""
40FT Gooseneck Triaxle,40ft-gooseneck-triaxle,40ft,Triaxle,/assets/40ft-gooseneck-triaxle.webp,""
40FT Gooseneck With Genset,40ft-gooseneck-genset,40ft,Tandem,/assets/og-image.jpg,""
40ft Gooseneck Lightweight,40ft-gooseneck-lightweight,40ft,Tandem,/assets/40ft-gooseneck-lightweight.webp,""
40′ GN Lightweight – 4 Axles,40-gn-lightweight-4-axles,40ft,Gooseneck Triaxle,/assets/og-image.jpg,
53' GN Slider Tandem,53-gn-slider-tandem,53ft,Gooseneck Tandem,/assets/53-gn-slider-tandem.webp,""
53' Gooseneck Slider Tandem Container Chassis,53ft-gooseneck-slider-tandem,53ft,Tandem,/assets/53-gn-slider-tandem.webp,""
